scan,parameter,value,steady_state_mse,communication_count
predictor_order,p,1,0.000354,1856
predictor_order,p,2,0.000360,1864
predictor_order,p,3,0.000327,1884
predictor_order,p,4,0.000311,1888
predictor_order,p,5,0.000350,1901
budget_step,rho,0.10,0.00027,1890
budget_step,rho,0.20,0.00029,1893
budget_step,rho,0.40,0.00033,1897
budget_step,rho,0.60,0.00045,1900
budget_step,rho,0.70,0.00120,2005
timeout,Kmax,8,0.00053,2420
timeout,Kmax,12,0.00026,1985
timeout,Kmax,16,0.00028,1975
timeout,Kmax,20,0.00032,1965
timeout,Kmax,24,0.00030,1950
truncation_bound,B,0.10,0.000245,1845
truncation_bound,B,0.25,0.000270,1875
truncation_bound,B,0.50,0.000310,1888
truncation_bound,B,1.00,0.000370,1890
